transcript_name	raw	est_count	tpm
ENST00000387347.2	0.031853154244703336	104568.99999960736	31853.154244703335
ENST00000362079.2	0.0263800821276884	86601.74709255336	26380.0821276884
ENST00000361739.1	0.017517525549689935	57507.3386806974	17517.525549689934
ENST00000361390.2	0.01748475789894329	57399.767529514385	17484.75789894329
ENST00000361381.2	0.01724997151855048	56628.99999978737	17249.97151855048
ENST00000361789.2	0.015753099597058718	51714.99999980583	15753.099597058717
ENST00000361453.3	0.015156929659856381	49757.86590614088	15156.929659856381
ENST00000361227.2	0.014576376716976772	47851.99999982033	14576.376716976773
ENST00000361899.2	0.012229398473219884	40147.231860216	12229.398473219884
ENST00000514057.1	0.0072906216777849624	23933.988212429653	7290.621677784962
ENST00000361624.2	0.006613050052749975	21709.624913470045	6613.050052749975
ENST00000414273.1	0.004684504385893827	15378.506485214008	4684.504385893827
ENST00000389680.2	0.002773508108502748	9104.999999965812	2773.508108502748
ENST00000229239.10	0.0027318618029941065	8968.28159251199	2731.8618029941063
ENST00000456586.5	0.0026056659374115877	8553.99999996788	2605.6659374115875
ENST00000378961.9	0.0023708087433802183	7782.999999970776	2370.8087433802184
ENST00000523500.5	0.0022614524104914223	7423.999999972124	2261.452410491422
ENST00000501597.3	0.0020328108420664824	6673.404941634583	2032.8108420664823
ENST00000254976.7	0.001999245112193677	6563.213819584564	1999.245112193677
ENST00000451311.7	0.0019135358622638225	6281.84355128934	1913.5358622638225
ENST00000309311.7	0.0018602761140720794	6106.99999997707	1860.2761140720793
ENST00000439189.1	0.001758839498302568	5773.999211644592	1758.839498302568
ENST00000649266.1	0.0017015723552000386	5585.999999979026	1701.5723552000386
ENST00000264071.7	0.0016735478910614055	5493.999999979371	1673.5478910614054
ENST00000582078.2	0.001631511194853456	5355.999999979888	1631.5111948534561
ENST00000356978.9	0.0015815545413889365	5191.999999980505	1581.5545413889365
ENST00000567815.5	0.0014974740663773948	4915.976748910765	1497.4740663773948
ENST00000217182.6	0.0014903272774012808	4892.514941307685	1490.3272774012808
ENST00000302182.8	0.0014568175616963572	4782.50770514464	1456.8175616963572
ENST00000371625.8	0.001424069237479445	4674.999999982446	1424.069237479445
ENST00000348956.7	0.0014168948852069398	4651.447706322061	1416.8948852069398
ENST00000355968.10	0.0013923705468806588	4570.938080344983	1392.3705468806588
ENST00000343986.9	0.0013262882267348671	4353.999999983652	1326.288226734867
ENST00000379060.8	0.0013098390847404522	4299.999999983855	1309.839084740452
ENST00000394077.8	0.0013079611228732579	4293.834940379983	1307.9611228732579
ENST00000321153.9	0.001300380251796883	4268.94810809039	1300.380251796883
ENST00000330398.9	0.0012937809273359836	4247.283542181224	1293.7809273359837
ENST00000219197.11	0.0012784638694548088	4196.999999984241	1278.463869454809
ENST00000406022.6	0.0012674198315960152	4160.744124475652	1267.4198315960152
ENST00000361567.2	0.0012519624740193623	4109.999999984568	1251.9624740193624
ENST00000357790.5	0.0012443958193708749	4085.1598380383994	1244.395819370875
ENST00000237654.9	0.001241910220578331	4076.9999999846914	1241.9102205783308
ENST00000274065.9	0.0012413380934529357	4075.121794739596	1241.3380934529357
ENST00000527344.5	0.0012404633401546968	4072.2501143734858	1240.4633401546967
ENST00000222247.10	0.0012362838653320325	4058.5295421698015	1236.2838653320325
ENST00000449470.6	0.0012203567550017154	4006.2432917303613	1220.3567550017153
ENST00000336023.9	0.0011904304984106248	3907.9999999853258	1190.4304984106248
ENST00000261313.3	0.0011873843610042518	3897.999999985364	1187.3843610042518
ENST00000342503.8	0.0011823957757393143	3881.623242802705	1182.3957757393143
ENST00000441633.2	0.0011658872522661487	3827.428302552917	1165.8872522661488
ENST00000361335.1	0.0011630118544838303	3817.9888144448246	1163.0118544838303
ENST00000554243.1	0.0011535823221566633	3787.0331119627135	1153.5823221566634
ENST00000378482.7	0.001151134201239622	3778.9963080026882	1151.134201239622
ENST00000689346.1	0.0011491712659217937	3772.552293646297	1149.1712659217937
ENST00000549920.6	0.0011479795587104333	3768.6401023943113	1147.9795587104334
ENST00000409733.5	0.001147173018879958	3765.9923563379944	1147.173018879958
ENST00000334701.11	0.0011349907976146336	3725.9999999860097	1134.9907976146337
ENST00000230050.4	0.0011282892953206128	3703.9999999860925	1128.2892953206128
ENST00000252486.9	0.0011249385441736023	3692.9999999861334	1124.9385441736022
ENST00000439602.7	0.0011182980945409105	3671.2004264712496	1118.2980945409104
ENST00000291295.14	0.0011136678357700216	3655.999999986272	1113.6678357700216
ENST00000530022.5	0.0011122738025372279	3651.4236035641284	1112.2738025372278
ENST00000316509.11	0.001102397127366441	3618.9999999864112	1102.3971273664408
ENST00000529639.6	0.0011006675082967168	3613.3219269418437	1100.6675082967167
ENST00000571732.5	0.0010981325349975187	3604.999999986464	1098.1325349975186
ENST00000655450.1	0.0010932827200335453	3589.078804331244	1093.2827200335453
ENST00000327141.9	0.0010888437203613681	3574.506252013436	1088.8437203613682
ENST00000394936.8	0.0010862525991126634	3565.9999999866104	1086.2525991126633
ENST00000253408.11	0.0010813787792624662	3549.99999998667	1081.3787792624662
ENST00000304886.6	0.0010783395786038053	3540.0227722611876	1078.3395786038052
ENST00000601048.6	0.0010758957319309947	3531.999999986738	1075.8957319309945
ENST00000380384.5	0.0010725935326890302	3521.159388414052	1072.59353268903
ENST00000287038.8	0.0010574455658686152	3471.4309461295197	1057.4455658686152
ENST00000651669.1	0.0010469552809398762	3436.992956212349	1046.9552809398763
ENST00000262030.8	0.0010359913319075065	3400.99999998723	1035.9913319075065
ENST00000448864.6	0.0010253298509852004	3365.999999987361	1025.3298509852004
ENST00000591758.1	0.0010050450389534726	3299.4080859482515	1005.0450389534726
ENST00000221485.8	0.0009708039914111212	3186.9999999880333	970.8039914111212
ENST00000396651.8	0.0009676981437545635	3176.803980432094	967.6981437545635
ENST00000376335.8	0.0009461302784194987	3105.9999999883375	946.1302784194987
ENST00000393658.7	0.0009403223147469039	3086.933349677615	940.3223147469039
ENST00000648839.1	0.0009330741489347062	3063.1387375337044	933.0741489347063
ENST00000270625.7	0.0009304175006292183	3054.4173702706266	930.4175006292184
ENST00000464216.1	0.0009299322542790527	3052.824381230971	929.9322542790527
ENST00000280187.11	0.0009275691428411091	3045.0666502993636	927.569142841109
ENST00000348462.6	0.0009250966688758003	3036.9498990322454	925.0966688758002
ENST00000370321.8	0.0009184777187724142	3015.220905161145	918.4777187724142
ENST00000584577.5	0.0009139441156212281	3000.337784190686	913.9441156212281
ENST00000648437.1	0.0009129360886613864	2997.028586917678	912.9360886613864
ENST00000366815.10	0.0009049991187959169	2970.9727371427007	904.9991187959168
ENST00000525634.6	0.0009040452042300531	2967.841182525813	904.0452042300532
ENST00000416718.2	0.0008955742956129313	2940.032494055729	895.5742956129312
ENST00000303892.10	0.0008839930032901926	2902.0128948791953	883.9930032901925
ENST00000323345.11	0.0008839889711355477	2901.9996579364483	883.9889711355477
ENST00000512493.5	0.0008836275453549624	2900.813152758357	883.6275453549623
ENST00000215754.8	0.0008787054745242184	2884.6547522199326	878.7054745242184
ENST00000401609.5	0.0008771327082077084	2879.4916026088426	877.1327082077083
ENST00000382582.7	0.0008755559184953747	2874.3152448088667	875.5559184953747
ENST00000216146.9	0.0008728728846349839	2865.5072578324184	872.8728846349838
ENST00000424002.1	0.0008728708838116241	2865.500689437455	872.8708838116241
ENST00000614675.4	0.0008663214783725222	2843.999999989321	866.3214783725223
ENST00000515763.1	0.0008662985290626618	2843.924660939243	866.2985290626618
ENST00000447750.7	0.0008651030234099731	2839.9999999893366	865.103023409973
ENST00000220876.12	0.0008562692249314909	2810.999999989445	856.2692249314908
ENST00000456319.6	0.0008508131631492975	2793.088589392019	850.8131631492976
ENST00000255224.8	0.000848653881415558	2785.999999989539	848.6538814155581
ENST00000568588.5	0.0008453031302685476	2774.9999999895804	845.3031302685476
ENST00000278572.10	0.0008403128177283893	2758.617572428372	840.3128177283893
ENST00000355994.7	0.0008175826465999171	2683.9979210599518	817.5826465999171
ENST00000343262.9	0.000814463384677964	2673.7578645365156	814.4633846779641
ENST00000331825.11	0.0008102725500952565	2659.9999999900124	810.2725500952565
ENST00000701490.1	0.0008096633226139818	2657.9999999900197	809.6633226139818
ENST00000394665.5	0.0008078398909445615	2652.01395462779	807.8398909445615
ENST00000354359.12	0.0008077155717650872	2651.6058339067295	807.7155717650871
ENST00000371085.8	0.0008071594194704919	2649.7800715710264	807.1594194704919
ENST00000265462.9	0.0008066919078143327	2648.2453028006507	806.6919078143327
ENST00000295108.4	0.0008014387516167743	2630.999999990121	801.4387516167743
ENST00000339647.6	0.0007989274551210838	2622.7558003344293	798.9274551210838
ENST00000376925.8	0.0007964099692298783	2614.491281846429	796.4099692298784
ENST00000245857.9	0.0007929093329206033	2602.999231941071	792.9093329206032
ENST00000398409.1	0.0007921506881937164	2600.508718133989	792.1506881937164
ENST00000710358.1	0.0007898691644523937	2593.0188270458825	789.8691644523936
ENST00000556230.2	0.0007871676925701314	2584.1503108830857	787.1676925701314
ENST00000447165.6	0.0007782218914984499	2554.7826236181204	778.2218914984498
ENST00000367071.4	0.0007721958325155921	2534.9999999904812	772.1958325155921
ENST00000527673.2	0.0007715866050343175	2532.999999990489	771.5866050343175
ENST00000229379.3	0.0007615343515932861	2499.9999999906127	761.534351593286
ENST00000257435.12	0.0007611826578136463	2498.8454434728974	761.1826578136463
ENST00000620041.5	0.0007587216433552695	2490.766312002273	758.7216433552695
ENST00000435983.5	0.0007579100063783623	2488.1018327991815	757.9100063783624
ENST00000506894.5	0.000752700553114804	2470.999999990722	752.7005531148039
ENST00000559463.5	0.0007526064101191197	2470.6909430339115	752.6064101191197
ENST00000611050.4	0.0007444746166933311	2443.9955175132354	744.4746166933311
ENST00000678077.1	0.0007418925424308377	2435.518965348906	741.8925424308377
ENST00000684430.2	0.0007380003102516431	2422.7413665083654	738.0003102516431
ENST00000301522.3	0.0007200530829262957	2363.8233830722584	720.0530829262957
ENST00000361575.4	0.000705180809575383	2314.999999991308	705.180809575383
ENST00000331523.7	0.0007039584602876153	2310.9872155213566	703.9584602876153
ENST00000356303.7	0.0006996172398232163	2296.7356572846866	699.6172398232163
ENST00000676710.1	0.0006996172398232163	2296.7356572846866	699.6172398232163
ENST00000678508.1	0.0006996172398232163	2296.7356572846866	699.6172398232163
ENST00000339697.5	0.0006978700798000874	2290.9999999913975	697.8700798000874
ENST00000506397.5	0.0006948196916193108	2280.986045353688	694.8196916193108
ENST00000245458.11	0.0006919893115105258	2271.6943433350834	691.9893115105258
ENST00000455918.2	0.0006883108014982612	2259.618361455361	688.3108014982612
ENST00000677236.1	0.0006883108014982612	2259.618361455361	688.3108014982612
ENST00000678702.1	0.0006876967546419436	2257.6025401892857	687.6967546419436
ENST00000333628.4	0.0006774609591773873	2223.9999999916495	677.4609591773873
ENST00000314133.4	0.0006747194355116515	2214.999999991683	674.7194355116516
ENST00000401830.3	0.0006734238506804652	2210.7467945109624	673.4238506804652
ENST00000296755.12	0.0006674087057363559	2190.999999991773	667.408705736356
ENST00000675515.1	0.0006667247840968104	2188.7547905730776	666.7247840968105
ENST00000357865.6	0.0006628394996267962	2175.9999999918296	662.8394996267963
ENST00000009589.8	0.0006610098730097366	2169.9936175705216	661.0098730097366
ENST00000416518.1	0.0006600937608262732	2166.986162353488	660.0937608262732
ENST00000379535.8	0.0006597933622204231	2165.9999999918673	659.7933622204231
ENST00000361436.10	0.0006585719752666847	2161.990374716335	658.5719752666847
ENST00000478300.6	0.0006579472537843671	2159.9395102969943	657.947253784367
ENST00000678703.1	0.0006578034774368489	2159.4675146896498	657.803477436849
ENST00000642480.2	0.0006492149002729037	2131.272538501301	649.2149002729037
ENST00000646664.1	0.0006469479142716879	2123.8303725751534	646.9479142716879
ENST00000579408.5	0.0006468769814483838	2123.5975110399013	646.8769814483838
ENST00000647841.1	0.0006463268025763838	2121.7913585306715	646.3268025763839
ENST00000253788.12	0.0006420623132520337	2107.791696810186	642.0623132520337
ENST00000282050.6	0.0006415117825794428	2105.984389393793	641.5117825794428
ENST00000361311.4	0.0006335939532868352	2079.9913751718736	633.5939532868352
ENST00000477670.1	0.0006307823847625684	2070.7614286882585	630.7823847625683
ENST00000307845.8	0.0006267742634843139	2057.6033837824257	626.7742634843139
ENST00000323963.10	0.0006223258721220334	2042.9999999923289	622.3258721220334
ENST00000440191.6	0.0006223258721220334	2042.9999999923289	622.3258721220334
ENST00000295598.10	0.0006219136324986286	2041.646680793593	621.9136324986287
ENST00000394580.2	0.0006213413598826782	2039.7679979254106	621.3413598826783
ENST00000599539.5	0.000616915569236238	2025.238808804907	616.915569236238
ENST00000512690.5	0.0006167491464947196	2024.6924685736042	616.7491464947195
ENST00000301071.12	0.0006151519498539975	2019.4491179703964	615.1519498539975
ENST00000648006.3	0.0006061813438682557	1989.9999999925278	606.1813438682557
ENST00000676397.1	0.000605376188021532	1987.3567973417341	605.376188021532
ENST00000644185.1	0.0006009324408071922	1972.7686595741275	600.9324408071922
ENST00000481898.6	0.0005982059548759253	1963.818026140612	598.2059548759253
ENST00000334828.6	0.0005960576425400532	1956.7654475820434	596.0576425400532
ENST00000250111.9	0.0005949106354646751	1952.9999999926667	594.910635464675
ENST00000395422.4	0.0005939967942427632	1949.999999992678	593.9967942427633
ENST00000395321.6	0.0005929543543062581	1946.5778302168821	592.9543543062581
ENST00000563390.5	0.00058873024301027	1932.7107233452928	588.73024301027
ENST00000322203.7	0.0005833248422231227	1914.9656249928096	583.3248422231227
ENST00000512805.6	0.000577540177777048	1895.975462454671	577.540177777048
ENST00000360535.9	0.0005717599911762392	1876.999999992952	571.7599911762392
ENST00000594493.1	0.0005697734517187002	1870.478496880928	569.7734517187001
ENST00000376960.8	0.0005668861713260422	1860.9999999930124	566.8861713260421
ENST00000302536.3	0.0005641446476603064	1851.9999999930462	564.1446476603064
ENST00000500949.7	0.000560996118944009	1841.663865090864	560.9961189440089
ENST00000635637.1	0.0005602695587658349	1839.278679916186	560.2695587658349
ENST00000471855.1	0.000559745944468624	1837.5597348150445	559.745944468624
ENST00000319622.10	0.0005565227619992709	1826.9785231382584	556.5227619992709
ENST00000202773.14	0.0005532291898918514	1816.1662331197049	553.2291898918514
ENST00000311672.10	0.0005511756133329014	1809.424657527462	551.1756133329014
ENST00000507622.2	0.0005498278018503525	1804.9999999932224	549.8278018503526
ENST00000645440.1	0.0005478788147713743	1798.6017755569471	547.8788147713743
ENST00000372645.3	0.0005469777332785163	1795.643663782444	546.9777332785163
ENST00000565184.6	0.0005432312811612482	1783.3446384350789	543.2312811612481
ENST00000501056.2	0.0005400801621499585	1772.9999999933425	540.0801621499585
ENST00000358435.9	0.0005383329845002311	1767.2642848346457	538.3329845002311
ENST00000215095.11	0.0005352063422997614	1756.9999999934025	535.2063422997614
ENST00000311151.9	0.0005344851051759117	1754.6322895863211	534.4851051759117
ENST00000263233.9	0.0005297232949682898	1738.9999999934703	529.7232949682898
ENST00000378585.7	0.0005269768295547355	1729.9837769964454	526.9768295547356
