transcript_name	raw	est_count	tpm
ENST00000362079.2	0.010247441937314914	33727.999999916945	10247.441937314914
ENST00000387347.2	0.007507235615189582	24708.99999993915	7507.235615189582
ENST00000649309.2	0.006814593712741481	22429.267533181377	6814.593712741481
ENST00000361227.2	0.0065255739424113415	21477.999999947107	6525.573942411342
ENST00000361381.2	0.004839339871250947	15927.999999960775	4839.339871250947
ENST00000253408.11	0.0047515341691670996	15638.999999961487	4751.534169167099
ENST00000361739.1	0.004668753775522381	15366.540089095794	4668.753775522381
ENST00000361390.2	0.004254474900623242	14002.999999965512	4254.474900623242
ENST00000361789.2	0.003935457643917222	12952.9999999681	3935.4576439172224
ENST00000361899.2	0.0038906767762253384	12805.610132843478	3890.6767762253385
ENST00000233143.6	0.003762580673378436	12383.999999969503	3762.580673378436
ENST00000649451.1	0.0037089736806648847	12207.560195645814	3708.973680664885
ENST00000301071.12	0.003475226300508599	11438.213885989382	3475.226300508599
ENST00000357865.6	0.0033056264313919077	10879.999999973206	3305.6264313919078
ENST00000451311.7	0.003235094813118518	10647.855193916139	3235.094813118518
ENST00000361453.3	0.00323304748375642	10641.116700041563	3233.04748375642
ENST00000244745.4	0.0030461590626043446	10025.99999997531	3046.1590626043444
ENST00000456586.5	0.0030355251540474773	9990.999999975396	3035.5251540474774
ENST00000220876.12	0.0028772318295295376	9469.99999997668	2877.2318295295377
ENST00000366815.10	0.0026183884846704727	8618.053886128038	2618.3884846704727
ENST00000501597.3	0.002480288460101543	8163.517265462894	2480.288460101543
ENST00000406022.6	0.0024194388205051828	7963.2393173802975	2419.438820505183
ENST00000514057.1	0.002382721620407362	7842.389867100735	2382.721620407362
ENST00000346199.3	0.0023777942937492163	7826.172271085833	2377.794293749216
ENST00000552924.2	0.0023338179255496887	7681.430299801373	2333.817925549689
ENST00000361624.2	0.0023228172611060222	7645.223174879395	2322.817261106022
ENST00000550767.6	0.0022758213874418563	7490.542930127854	2275.821387441856
ENST00000321153.9	0.002257176645037732	7429.1764080581	2257.176645037732
ENST00000340398.5	0.0021910590500451633	7211.559732838548	2191.059050045163
ENST00000651669.1	0.0020915341890413723	6883.987785374833	2091.5341890413724
ENST00000329421.8	0.0020799925137232537	6845.999999983141	2079.9925137232535
ENST00000439189.1	0.00204535594724766	6731.998659821164	2045.3559472476602
ENST00000523500.5	0.0020322884244219166	6688.9887640284705	2032.2884244219165
ENST00000378961.9	0.0019961365491033855	6569.999999983821	1996.1365491033855
ENST00000274065.9	0.0019069016196194362	6276.295900947388	1906.9016196194361
ENST00000379060.8	0.0018433108944995835	6066.99605909836	1843.3108944995836
ENST00000263610.7	0.0018314628794513254	6027.999999985155	1831.4628794513253
ENST00000270625.7	0.0018295180233143477	6021.598782179864	1829.5180233143476
ENST00000567815.5	0.0017506377871954041	5761.975685987891	1750.6377871954041
ENST00000357790.5	0.001738763119686869	5722.891904086334	1738.763119686869
ENST00000573283.7	0.0016860225495744865	5549.303806722382	1686.0225495744864
ENST00000229239.10	0.0016431306201901712	5408.131111807881	1643.1306201901712
ENST00000252486.9	0.0016421793071390866	5404.9999999866895	1642.1793071390866
ENST00000261249.7	0.001619986741450008	5331.9563213654155	1619.9867414500081
ENST00000439602.7	0.0016180866595154949	5325.7024714896	1618.0866595154948
ENST00000245857.9	0.001599643326605433	5264.998860169405	1599.643326605433
ENST00000394077.8	0.0015652445204532106	5151.780074349838	1565.2445204532107
ENST00000570382.2	0.0015627759646291426	5143.655173389846	1562.7759646291427
ENST00000409115.8	0.0015605067913092474	5136.186511630022	1560.5067913092473
