transcript_name	raw	est_count	tpm
ENST00000362079.2	0.009756610853081233	36625.00000000178	9756.610853081233
ENST00000387347.2	0.00866733353490378	32536.00000000158	8667.33353490378
ENST00000361381.2	0.00777172260231407	29173.997466535708	7771.72260231407
ENST00000287641.4	0.007750145516687844	29093.000000001415	7750.145516687844
ENST00000361739.1	0.007424810296722811	27871.735504507375	7424.810296722811
ENST00000456586.5	0.007220291619437918	27104.00000000132	7220.291619437918
ENST00000233143.6	0.006239968672288732	23424.00000000114	6239.968672288732
ENST00000361227.2	0.005941343122355515	22303.000000001084	5941.343122355514
ENST00000501597.3	0.0049915716839081	18737.68623921368	4991.5716839081
ENST00000361899.2	0.004361466928675056	16372.358052210788	4361.466928675056
ENST00000361624.2	0.004016308705211108	15076.680677687296	4016.3087052111077
ENST00000319248.13	0.0039584389662515795	14859.445490047985	3958.4389662515796
ENST00000361789.2	0.003926086846490409	14738.000000000719	3926.086846490409
ENST00000406022.6	0.0038250574351586554	14358.749228831846	3825.0574351586556
ENST00000651669.1	0.0037127067702223382	13937.000000000678	3712.706770222338
ENST00000361390.2	0.003692993754429029	13862.999999969727	3692.993754429029
ENST00000309311.7	0.0035550026439418172	13345.00000000065	3555.002643941817
ENST00000439189.1	0.0034057966124845574	12784.900700724344	3405.7966124845575
ENST00000451311.7	0.003381316284798799	12693.004855436242	3381.3162847987987
ENST00000302182.8	0.0030188112169332584	11332.209768853167	3018.8112169332585
ENST00000361453.3	0.002928968198699691	10994.951207211816	2928.968198699691
ENST00000270625.7	0.0028345436951864892	10640.49436833123	2834.5436951864895
ENST00000361575.4	0.0027976467669576064	10501.988280845315	2797.6467669576064
ENST00000245857.9	0.002736379678717395	10271.999902648473	2736.379678717395
ENST00000409733.5	0.0026889563458454336	10093.979113197069	2688.9563458454336
ENST00000514057.1	0.0026446454381807687	9927.641947796452	2644.645438180769
ENST00000357790.5	0.002579469779240381	9682.981322848193	2579.469779240381
ENST00000414273.1	0.0025696765184714285	9646.218744011749	2569.6765184714286
ENST00000559463.5	0.0025474509350258724	9562.786904210896	2547.4509350258722
ENST00000396651.8	0.0023941160428865415	8987.188419330287	2394.1160428865414
ENST00000323345.11	0.0023421193724991224	8791.999938246418	2342.1193724991226
ENST00000366815.10	0.0023333969527961546	8759.257152208136	2333.3969527961544
ENST00000222247.10	0.00232334868114933	8721.53729696263	2323.34868114933
ENST00000439602.7	0.002283468705462235	8571.833252029992	2283.468705462235
ENST00000348462.6	0.002247776306653613	8437.848805376265	2247.776306653613
ENST00000261249.7	0.002225951260847464	8355.920529801166	2225.9512608474643
ENST00000304414.12	0.0022086569442429076	8291.000000000402	2208.6569442429077
ENST00000229239.10	0.002186971607996235	8209.596175250788	2186.971607996235
ENST00000567815.5	0.0021836038103699488	8196.953917614388	2183.603810369949
ENST00000335181.10	0.002166628294621144	8133.230123188001	2166.628294621144
ENST00000370321.8	0.0021303647830722932	7997.101796407674	2130.3647830722934
ENST00000357865.6	0.0020783897106934953	7801.994391332438	2078.389710693495
ENST00000448864.6	0.0020765264600619304	7795.000000000378	2076.5264600619303
ENST00000549920.6	0.0020734317990824735	7783.383060462729	2073.4317990824734
ENST00000568588.5	0.0020714650100630626	7776.000000000378	2071.4650100630624
ENST00000464216.1	0.002063180458864396	7744.900913214996	2063.1804588643963
ENST00000380384.5	0.0020263020550562658	7606.4643639037895	2026.3020550562658
ENST00000556230.2	0.0020161993937422786	7568.5403371903585	2016.1993937422785
